recordId,fullName,email,city,state,country,age,signupDate,purchaseAmount,status
REC-00055,Arjun Joshi,arjun.joshi55@example.com,Kolkata,West Bengal,India,30,2025-03-06,2896.57,Inactive
REC-00056,Ishaan Patel,ishaan.patel56@example.com,Delhi,Delhi,India,39,2025-12-14,3216.95,Prospect
REC-00057,Arjun Sharma,arjun.sharma57@example.com,Surat,Gujarat,India,49,2026-01-30,3796.12,Prospect
REC-00058,Krish Nair,krish.nair58@example.com,Ahmedabad,Gujarat,India,50,2025-04-11,2037.69,Active
REC-00059,Saanvi Sharma,saanvi.sharma59@example.com,Pune,Maharashtra,India,27,2025-11-16,2474.96,Inactive
REC-00060,Diya Nair,diya.nair60@example.com,Pune,Maharashtra,India,34,2025-10-27,491.89,Inactive
REC-00061,Riya Joshi,riya.joshi61@example.com,Delhi,Delhi,India,48,2025-05-28,1411.12,Active
REC-00062,Meera Shah,meera.shah62@example.com,Mumbai,Maharashtra,India,28,2025-03-22,568.61,Inactive
REC-00063,Aditya Kapoor,aditya.kapoor63@example.com,Kolkata,West Bengal,India,50,2025-02-27,440.57,Active
REC-00064,Vivaan Gupta,vivaan.gupta64@example.com,Surat,Gujarat,India,53,2025-11-18,433.67,Active
REC-00065,Ananya Desai,ananya.desai65@example.com,Kolkata,West Bengal,India,25,2025-03-02,259.88,Prospect
REC-00066,Kabir Mehta,kabir.mehta66@example.com,Surat,Gujarat,India,40,2025-07-07,360.40,Active
REC-00067,Saanvi Patel,saanvi.patel67@example.com,Ahmedabad,Gujarat,India,48,2025-10-06,3982.49,Prospect
REC-00068,Saanvi Verma,saanvi.verma68@example.com,Delhi,Delhi,India,31,2025-03-05,3388.58,Prospect
REC-00069,Diya Desai,diya.desai69@example.com,Delhi,Delhi,India,50,2025-08-03,1356.36,Prospect
REC-00070,Kabir Joshi,kabir.joshi70@example.com,Delhi,Delhi,India,45,2025-09-08,4165.88,Prospect
REC-00071,Vivaan Reddy,vivaan.reddy71@example.com,Jaipur,Rajasthan,India,27,2025-05-18,3728.34,Inactive
REC-00072,Vivaan Mehta,vivaan.mehta72@example.com,Kolkata,West Bengal,India,52,2025-06-30,4869.45,Active
REC-00073,Arjun Verma,arjun.verma73@example.com,Delhi,Delhi,India,38,2025-04-16,1780.13,Prospect
REC-00074,Riya Verma,riya.verma74@example.com,Hyderabad,Telangana,India,53,2025-03-17,1389.40,Inactive
REC-00075,Aarav Kapoor,aarav.kapoor75@example.com,Hyderabad,Telangana,India,33,2025-03-01,3509.34,Inactive
REC-00076,Kabir Nair,kabir.nair76@example.com,Ahmedabad,Gujarat,India,37,2025-12-20,2341.44,Active
REC-00077,Aditya Nair,aditya.nair77@example.com,Ahmedabad,Gujarat,India,49,2025-08-06,1629.11,Prospect
REC-00078,Ishaan Joshi,ishaan.joshi78@example.com,Pune,Maharashtra,India,45,2025-11-28,458.13,Active
REC-00079,Vivaan Joshi,vivaan.joshi79@example.com,Delhi,Delhi,India,31,2025-07-12,2346.42,Inactive
REC-00080,Aarav Nair,aarav.nair80@example.com,Jaipur,Rajasthan,India,40,2025-10-15,3383.55,Active
REC-00081,Kabir Gupta,kabir.gupta81@example.com,Kolkata,West Bengal,India,21,2026-02-10,2382.23,Active
REC-00082,Meera Patel,meera.patel82@example.com,Chennai,Tamil Nadu,India,44,2025-03-20,2755.63,Inactive
REC-00083,Krish Iyer,krish.iyer83@example.com,Chennai,Tamil Nadu,India,35,2025-07-15,2852.24,Active
REC-00084,Krish Joshi,krish.joshi84@example.com,Pune,Maharashtra,India,54,2025-04-10,2349.59,Prospect
REC-00085,Aditya Mehta,aditya.mehta85@example.com,Bengaluru,Karnataka,India,39,2025-06-28,1135.74,Inactive
REC-00086,Diya Kapoor,diya.kapoor86@example.com,Kolkata,West Bengal,India,30,2025-10-31,3292.58,Active
REC-00087,Diya Shah,diya.shah87@example.com,Delhi,Delhi,India,21,2025-03-18,1341.04,Prospect
REC-00088,Aditya Joshi,aditya.joshi88@example.com,Pune,Maharashtra,India,20,2025-11-01,4310.89,Prospect
REC-00089,Aarav Shah,aarav.shah89@example.com,Delhi,Delhi,India,44,2025-07-04,1812.15,Prospect
REC-00090,Kabir Iyer,kabir.iyer90@example.com,Delhi,Delhi,India,28,2025-11-01,1146.12,Prospect
REC-00091,Arjun Verma,arjun.verma91@example.com,Surat,Gujarat,India,43,2025-03-20,3293.42,Active
REC-00092,Ishaan Verma,ishaan.verma92@example.com,Mumbai,Maharashtra,India,33,2025-10-25,1299.44,Inactive
REC-00093,Arjun Verma,arjun.verma93@example.com,Hyderabad,Telangana,India,30,2025-12-19,360.03,Prospect
REC-00094,Arjun Reddy,arjun.reddy94@example.com,Surat,Gujarat,India,53,2025-11-15,1108.85,Prospect
REC-00095,Krish Shah,krish.shah95@example.com,Mumbai,Maharashtra,India,29,2026-01-15,369.11,Prospect
REC-00096,Riya Verma,riya.verma96@example.com,Bengaluru,Karnataka,India,47,2025-08-24,3944.82,Active
REC-00097,Ananya Shah,ananya.shah97@example.com,Kolkata,West Bengal,India,23,2025-12-16,657.07,Inactive
REC-00098,Ananya Iyer,ananya.iyer98@example.com,Jaipur,Rajasthan,India,25,2026-01-30,1129.88,Inactive
REC-00099,Ananya Mehta,ananya.mehta99@example.com,Bengaluru,Karnataka,India,37,2026-02-03,4318.97,Active
REC-00100,Diya Nair,diya.nair100@example.com,Chennai,Tamil Nadu,India,40,2025-06-24,4674.26,Inactive
REC-00101,Aarav Joshi,aarav.joshi101@example.com,Delhi,Delhi,India,41,2025-09-01,4121.73,Inactive
REC-00102,Aarav Desai,aarav.desai102@example.com,Chennai,Tamil Nadu,India,54,2025-08-02,1148.46,Inactive
REC-00103,Meera Verma,meera.verma103@example.com,Bengaluru,Karnataka,India,31,2026-01-18,4854.59,Active
REC-00104,Meera Desai,meera.desai104@example.com,Pune,Maharashtra,India,30,2026-02-20,3655.73,Active
REC-00105,Krish Kapoor,krish.kapoor105@example.com,Ahmedabad,Gujarat,India,42,2025-12-13,4881.64,Prospect
REC-00106,Arjun Verma,arjun.verma106@example.com,Jaipur,Rajasthan,India,52,2025-03-25,4490.05,Inactive
REC-00107,Diya Iyer,diya.iyer107@example.com,Mumbai,Maharashtra,India,52,2025-05-11,2538.73,Prospect
REC-00108,Ishaan Mehta,ishaan.mehta108@example.com,Chennai,Tamil Nadu,India,50,2025-05-17,2019.80,Prospect
REC-00109,Meera Verma,meera.verma109@example.com,Surat,Gujarat,India,41,2025-07-16,2038.86,Inactive
REC-00110,Ishaan Iyer,ishaan.iyer110@example.com,Bengaluru,Karnataka,India,44,2025-05-03,2269.33,Inactive
REC-00111,Aditya Patel,aditya.patel111@example.com,Chennai,Tamil Nadu,India,51,2025-09-08,4178.77,Prospect
REC-00112,Arjun Iyer,arjun.iyer112@example.com,Pune,Maharashtra,India,45,2025-07-07,3426.22,Active
REC-00113,Aditya Reddy,aditya.reddy113@example.com,Pune,Maharashtra,India,23,2025-04-15,1318.30,Inactive
REC-00114,Kabir Nair,kabir.nair114@example.com,Delhi,Delhi,India,27,2025-07-15,510.53,Active
REC-00115,Krish Sharma,krish.sharma115@example.com,Jaipur,Rajasthan,India,48,2026-02-07,4262.05,Active
REC-00116,Diya Patel,diya.patel116@example.com,Jaipur,Rajasthan,India,47,2025-04-24,2663.08,Inactive
REC-00117,Ananya Shah,ananya.shah117@example.com,Hyderabad,Telangana,India,28,2025-07-13,163.83,Prospect
REC-00118,Diya Desai,diya.desai118@example.com,Hyderabad,Telangana,India,48,2026-01-26,4577.73,Inactive
REC-00119,Ananya Sharma,ananya.sharma119@example.com,Surat,Gujarat,India,33,2025-10-03,292.92,Inactive
REC-00120,Aarav Shah,aarav.shah120@example.com,Bengaluru,Karnataka,India,48,2025-11-07,4457.25,Active
REC-00121,Arjun Sharma,arjun.sharma121@example.com,Ahmedabad,Gujarat,India,22,2025-07-29,2334.72,Prospect
REC-00122,Ishaan Gupta,ishaan.gupta122@example.com,Chennai,Tamil Nadu,India,21,2025-10-06,1929.04,Inactive
REC-00123,Aditya Mehta,aditya.mehta123@example.com,Surat,Gujarat,India,20,2025-09-30,2220.30,Inactive
REC-00124,Aarav Shah,aarav.shah124@example.com,Jaipur,Rajasthan,India,22,2025-03-12,784.38,Prospect
REC-00125,Aditya Desai,aditya.desai125@example.com,Bengaluru,Karnataka,India,28,2025-08-28,813.03,Prospect
REC-00126,Ananya Gupta,ananya.gupta126@example.com,Ahmedabad,Gujarat,India,25,2025-11-16,4701.46,Inactive
REC-00127,Diya Desai,diya.desai127@example.com,Delhi,Delhi,India,47,2025-11-03,1570.25,Prospect
REC-00128,Saanvi Desai,saanvi.desai128@example.com,Kolkata,West Bengal,India,54,2026-02-10,4379.48,Prospect
REC-00129,Ishaan Mehta,ishaan.mehta129@example.com,Pune,Maharashtra,India,38,2025-12-21,1506.45,Prospect
REC-00130,Krish Nair,krish.nair130@example.com,Pune,Maharashtra,India,54,2026-02-05,4191.82,Active
REC-00131,Saanvi Shah,saanvi.shah131@example.com,Pune,Maharashtra,India,49,2025-11-25,4503.05,Prospect
REC-00132,Krish Patel,krish.patel132@example.com,Bengaluru,Karnataka,India,50,2025-04-21,715.76,Active
REC-00133,Diya Reddy,diya.reddy133@example.com,Bengaluru,Karnataka,India,26,2026-01-24,4761.21,Prospect
REC-00134,Riya Mehta,riya.mehta134@example.com,Mumbai,Maharashtra,India,54,2025-05-27,534.41,Inactive
REC-00135,Ananya Nair,ananya.nair135@example.com,Bengaluru,Karnataka,India,30,2026-01-15,3851.11,Prospect
REC-00136,Saanvi Reddy,saanvi.reddy136@example.com,Pune,Maharashtra,India,54,2025-07-01,2812.67,Prospect
REC-00137,Arjun Desai,arjun.desai137@example.com,Kolkata,West Bengal,India,52,2025-03-24,385.43,Prospect
REC-00138,Riya Gupta,riya.gupta138@example.com,Chennai,Tamil Nadu,India,36,2025-08-04,4400.83,Active
REC-00139,Vivaan Mehta,vivaan.mehta139@example.com,Delhi,Delhi,India,29,2025-06-07,3544.34,Prospect
REC-00140,Arjun Mehta,arjun.mehta140@example.com,Bengaluru,Karnataka,India,49,2025-10-17,3968.92,Prospect
REC-00141,Krish Nair,krish.nair141@example.com,Delhi,Delhi,India,41,2025-04-03,2979.79,Inactive
REC-00142,Aarav Desai,aarav.desai142@example.com,Ahmedabad,Gujarat,India,41,2025-06-05,1521.26,Inactive
REC-00143,Ishaan Sharma,ishaan.sharma143@example.com,Bengaluru,Karnataka,India,49,2026-02-19,3386.97,Inactive
REC-00144,Ananya Shah,ananya.shah144@example.com,Mumbai,Maharashtra,India,52,2025-11-24,3594.98,Inactive
REC-00145,Ananya Sharma,ananya.sharma145@example.com,Ahmedabad,Gujarat,India,48,2025-06-18,3710.17,Prospect
REC-00146,Ananya Verma,ananya.verma146@example.com,Delhi,Delhi,India,26,2025-04-17,3047.74,Prospect
REC-00147,Arjun Mehta,arjun.mehta147@example.com,Chennai,Tamil Nadu,India,49,2025-08-26,2816.65,Prospect
REC-00148,Krish Gupta,krish.gupta148@example.com,Chennai,Tamil Nadu,India,30,2025-11-09,485.86,Prospect
REC-00149,Diya Joshi,diya.joshi149@example.com,Ahmedabad,Gujarat,India,44,2025-12-18,4034.47,Active
REC-00150,Ishaan Iyer,ishaan.iyer150@example.com,Delhi,Delhi,India,51,2025-06-22,3111.29,Active
REC-00151,Ananya Shah,ananya.shah151@example.com,Delhi,Delhi,India,45,2025-02-25,4375.72,Prospect
REC-00152,Ishaan Verma,ishaan.verma152@example.com,Kolkata,West Bengal,India,34,2026-01-16,1384.85,Inactive
REC-00153,Aarav Shah,aarav.shah153@example.com,Ahmedabad,Gujarat,India,41,2025-10-18,4488.11,Active
REC-00154,Arjun Nair,arjun.nair154@example.com,Bengaluru,Karnataka,India,29,2025-11-13,2966.71,Active
REC-00155,Saanvi Nair,saanvi.nair155@example.com,Jaipur,Rajasthan,India,25,2025-05-28,211.48,Active
REC-00156,Aditya Patel,aditya.patel156@example.com,Jaipur,Rajasthan,India,37,2025-03-27,2810.67,Prospect
REC-00157,Saanvi Nair,saanvi.nair157@example.com,Bengaluru,Karnataka,India,52,2025-07-19,4963.33,Active
REC-00158,Arjun Desai,arjun.desai158@example.com,Pune,Maharashtra,India,45,2025-11-24,2727.11,Prospect
REC-00159,Riya Patel,riya.patel159@example.com,Surat,Gujarat,India,53,2025-04-07,3011.47,Active
REC-00160,Vivaan Verma,vivaan.verma160@example.com,Bengaluru,Karnataka,India,33,2025-12-11,4078.72,Prospect
REC-00161,Saanvi Sharma,saanvi.sharma161@example.com,Mumbai,Maharashtra,India,24,2025-06-30,1038.87,Inactive
REC-00162,Aditya Mehta,aditya.mehta162@example.com,Bengaluru,Karnataka,India,36,2025-04-20,2455.81,Active
REC-00163,Diya Joshi,diya.joshi163@example.com,Hyderabad,Telangana,India,36,2025-08-31,3377.19,Inactive
REC-00164,Vivaan Reddy,vivaan.reddy164@example.com,Bengaluru,Karnataka,India,26,2025-12-17,817.43,Inactive
REC-00165,Kabir Patel,kabir.patel165@example.com,Pune,Maharashtra,India,22,2025-10-17,339.36,Inactive
REC-00166,Meera Gupta,meera.gupta166@example.com,Kolkata,West Bengal,India,44,2025-06-01,3893.39,Inactive
REC-00167,Aditya Patel,aditya.patel167@example.com,Mumbai,Maharashtra,India,50,2026-01-03,3575.70,Active
REC-00168,Ishaan Reddy,ishaan.reddy168@example.com,Pune,Maharashtra,India,46,2025-03-28,4034.26,Prospect
REC-00169,Aarav Desai,aarav.desai169@example.com,Pune,Maharashtra,India,47,2025-05-02,2834.29,Active
REC-00170,Aarav Desai,aarav.desai170@example.com,Bengaluru,Karnataka,India,21,2025-03-25,2499.94,Inactive
REC-00171,Meera Shah,meera.shah171@example.com,Bengaluru,Karnataka,India,42,2025-03-07,4803.31,Prospect
REC-00172,Aditya Joshi,aditya.joshi172@example.com,Mumbai,Maharashtra,India,44,2025-04-10,963.18,Prospect
REC-00173,Meera Verma,meera.verma173@example.com,Kolkata,West Bengal,India,27,2025-12-07,3171.90,Prospect
REC-00174,Ishaan Joshi,ishaan.joshi174@example.com,Bengaluru,Karnataka,India,31,2026-01-12,4781.98,Active
REC-00175,Meera Shah,meera.shah175@example.com,Delhi,Delhi,India,54,2025-07-19,3161.38,Active
REC-00176,Arjun Kapoor,arjun.kapoor176@example.com,Surat,Gujarat,India,39,2025-07-16,2862.49,Active
REC-00177,Saanvi Gupta,saanvi.gupta177@example.com,Chennai,Tamil Nadu,India,44,2025-10-06,3011.75,Prospect
REC-00178,Krish Kapoor,krish.kapoor178@example.com,Bengaluru,Karnataka,India,26,2025-06-11,827.53,Inactive
REC-00179,Riya Reddy,riya.reddy179@example.com,Kolkata,West Bengal,India,34,2025-04-18,3390.73,Inactive
REC-00180,Kabir Nair,kabir.nair180@example.com,Bengaluru,Karnataka,India,53,2025-06-15,2047.22,Inactive
REC-00181,Riya Kapoor,riya.kapoor181@example.com,Jaipur,Rajasthan,India,25,2025-08-08,4012.88,Inactive
REC-00182,Saanvi Reddy,saanvi.reddy182@example.com,Jaipur,Rajasthan,India,35,2025-06-07,2587.83,Inactive
REC-00183,Arjun Joshi,arjun.joshi183@example.com,Mumbai,Maharashtra,India,33,2025-04-10,2751.96,Inactive
REC-00184,Riya Verma,riya.verma184@example.com,Hyderabad,Telangana,India,40,2026-02-02,4810.82,Prospect
REC-00185,Ishaan Shah,ishaan.shah185@example.com,Surat,Gujarat,India,40,2025-07-01,1129.85,Inactive
REC-00186,Meera Iyer,meera.iyer186@example.com,Mumbai,Maharashtra,India,30,2025-05-08,4987.22,Prospect
REC-00187,Kabir Patel,kabir.patel187@example.com,Hyderabad,Telangana,India,32,2025-02-28,1574.12,Prospect
REC-00188,Vivaan Gupta,vivaan.gupta188@example.com,Delhi,Delhi,India,39,2025-10-17,3422.55,Active
REC-00189,Arjun Sharma,arjun.sharma189@example.com,Jaipur,Rajasthan,India,42,2026-01-08,4779.78,Inactive
REC-00190,Aarav Gupta,aarav.gupta190@example.com,Chennai,Tamil Nadu,India,35,2025-06-04,1240.84,Active
REC-00191,Diya Patel,diya.patel191@example.com,Chennai,Tamil Nadu,India,41,2025-11-28,769.56,Inactive
REC-00192,Ishaan Iyer,ishaan.iyer192@example.com,Pune,Maharashtra,India,41,2025-03-27,758.29,Active
REC-00193,Saanvi Nair,saanvi.nair193@example.com,Mumbai,Maharashtra,India,25,2025-06-04,3776.23,Prospect
REC-00194,Riya Shah,riya.shah194@example.com,Hyderabad,Telangana,India,31,2025-03-10,1753.47,Inactive
REC-00195,Aditya Patel,aditya.patel195@example.com,Chennai,Tamil Nadu,India,42,2025-06-02,4310.54,Active
REC-00196,Riya Iyer,riya.iyer196@example.com,Jaipur,Rajasthan,India,25,2026-02-17,1499.56,Prospect
REC-00197,Ananya Desai,ananya.desai197@example.com,Surat,Gujarat,India,30,2025-05-20,2265.84,Inactive
REC-00198,Kabir Sharma,kabir.sharma198@example.com,Surat,Gujarat,India,30,2025-12-20,146.69,Inactive
REC-00199,Meera Gupta,meera.gupta199@example.com,Bengaluru,Karnataka,India,25,2026-02-16,511.95,Prospect
REC-00200,Vivaan Reddy,vivaan.reddy200@example.com,Hyderabad,Telangana,India,30,2025-07-06,2732.36,Prospect
REC-00201,Ananya Reddy,ananya.reddy201@example.com,Surat,Gujarat,India,51,2025-03-04,1633.98,Active
REC-00202,Vivaan Nair,vivaan.nair202@example.com,Surat,Gujarat,India,52,2025-08-26,4787.35,Inactive
REC-00203,Aditya Reddy,aditya.reddy203@example.com,Mumbai,Maharashtra,India,22,2025-08-14,486.95,Prospect
REC-00204,Saanvi Joshi,saanvi.joshi204@example.com,Delhi,Delhi,India,27,2025-07-21,610.39,Inactive
REC-00205,Krish Kapoor,krish.kapoor205@example.com,Bengaluru,Karnataka,India,38,2025-12-07,4929.84,Active
REC-00206,Diya Kapoor,diya.kapoor206@example.com,Kolkata,West Bengal,India,33,2025-09-21,1502.44,Inactive
REC-00207,Saanvi Shah,saanvi.shah207@example.com,Bengaluru,Karnataka,India,41,2025-11-16,389.90,Active
REC-00208,Arjun Iyer,arjun.iyer208@example.com,Hyderabad,Telangana,India,41,2025-04-18,1641.56,Inactive
REC-00209,Ananya Desai,ananya.desai209@example.com,Delhi,Delhi,India,37,2025-03-27,4358.42,Inactive
REC-00210,Ananya Mehta,ananya.mehta210@example.com,Hyderabad,Telangana,India,26,2025-06-18,1730.83,Prospect
REC-00211,Ananya Sharma,ananya.sharma211@example.com,Kolkata,West Bengal,India,26,2025-06-09,2324.71,Active
REC-00212,Kabir Patel,kabir.patel212@example.com,Delhi,Delhi,India,39,2026-02-15,2049.28,Prospect
REC-00213,Aditya Patel,aditya.patel213@example.com,Ahmedabad,Gujarat,India,30,2025-03-25,4172.49,Active
REC-00214,Kabir Nair,kabir.nair214@example.com,Pune,Maharashtra,India,54,2026-01-10,1906.75,Prospect
REC-00215,Saanvi Mehta,saanvi.mehta215@example.com,Mumbai,Maharashtra,India,28,2025-09-17,3788.55,Prospect
REC-00216,Diya Mehta,diya.mehta216@example.com,Surat,Gujarat,India,31,2025-09-04,4199.91,Inactive
REC-00217,Saanvi Kapoor,saanvi.kapoor217@example.com,Mumbai,Maharashtra,India,53,2025-09-19,2815.23,Prospect
REC-00218,Krish Desai,krish.desai218@example.com,Delhi,Delhi,India,32,2025-12-21,2646.16,Prospect
REC-00219,Kabir Kapoor,kabir.kapoor219@example.com,Hyderabad,Telangana,India,21,2026-01-20,680.62,Active
REC-00220,Diya Gupta,diya.gupta220@example.com,Delhi,Delhi,India,25,2025-03-30,1414.63,Active
REC-00221,Ishaan Patel,ishaan.patel221@example.com,Chennai,Tamil Nadu,India,53,2025-03-16,3811.15,Prospect
REC-00222,Riya Joshi,riya.joshi222@example.com,Mumbai,Maharashtra,India,29,2026-01-03,3504.81,Prospect
REC-00223,Meera Patel,meera.patel223@example.com,Jaipur,Rajasthan,India,23,2025-06-19,1678.52,Prospect
REC-00224,Saanvi Verma,saanvi.verma224@example.com,Chennai,Tamil Nadu,India,30,2025-05-19,2224.06,Prospect
REC-00225,Saanvi Mehta,saanvi.mehta225@example.com,Mumbai,Maharashtra,India,51,2025-11-19,3435.95,Active
REC-00226,Saanvi Reddy,saanvi.reddy226@example.com,Surat,Gujarat,India,33,2026-01-16,2825.20,Prospect
REC-00227,Arjun Reddy,arjun.reddy227@example.com,Kolkata,West Bengal,India,52,2025-03-21,1673.71,Prospect
REC-00228,Arjun Nair,arjun.nair228@example.com,Delhi,Delhi,India,51,2025-06-23,3087.07,Inactive
REC-00229,Vivaan Sharma,vivaan.sharma229@example.com,Pune,Maharashtra,India,35,2025-04-18,3391.56,Prospect
REC-00230,Vivaan Kapoor,vivaan.kapoor230@example.com,Hyderabad,Telangana,India,29,2025-05-15,941.02,Inactive
REC-00231,Krish Desai,krish.desai231@example.com,Chennai,Tamil Nadu,India,28,2025-11-20,4597.28,Prospect
REC-00232,Riya Gupta,riya.gupta232@example.com,Delhi,Delhi,India,52,2025-12-08,956.04,Inactive
REC-00233,Diya Mehta,diya.mehta233@example.com,Ahmedabad,Gujarat,India,41,2025-05-07,2694.19,Prospect
REC-00234,Arjun Shah,arjun.shah234@example.com,Kolkata,West Bengal,India,45,2025-10-09,2366.06,Prospect
